,car_name,vehicle_age,km_driven,seller_type,fuel_type,transmission_type,mileage,engine,max_power,seats,selling_price
1716,Maruti Alto,11,83000,0,0,0,19.7,796.0,46.3,5,190000
1717,Maruti Swift,4,80000,0,1,0,28.4,1248.0,74.0,5,550000
1718,Maruti Ciaz,5,35000,0,1,0,28.09,1248.0,88.5,5,838000
1719,Maruti Swift,3,30000,0,0,1,22.0,1197.0,81.8,5,575000
1720,Toyota Innova,13,130000,0,1,0,12.8,2159.5,102.0,8,600000
1722,Porsche Cayenne,5,38646,1,1,1,13.33,2159.5,182.25,5,1485000
1723,Toyota Camry,1,72000,1,0,0,13.4,2159.5,164.7,5,345000
1724,Ford Figo,8,54000,1,1,0,18.5,1399.0,68.0,5,195000
1725,Hyundai Tucson,4,52600,1,1,1,16.38,1995.0,182.25,5,1485000
1726,Toyota Fortuner,4,67563,1,1,1,12.9,2159.5,174.5,7,1485000
1729,BMW X1,5,50000,1,1,1,20.68,1995.0,182.25,5,1485000
1730,Toyota Camry,6,64500,1,0,1,19.16,2159.5,157.7,5,1485000
1731,Tata Tiago,2,10000,0,0,0,23.84,1199.0,84.0,5,515000
1732,Hyundai Santro,2,11500,1,0,0,20.3,1086.0,68.07,5,530000
1734,Maruti Ignis,3,30000,1,0,0,20.89,1197.0,81.8,5,570000
1735,Hyundai Grand,3,54000,0,1,0,24.0,1186.0,73.97,5,430000
1736,Maruti XL6,1,9500,1,0,1,17.99,1462.0,103.2,6,1185000
1737,Honda Amaze,6,120000,0,0,0,18.0,1198.0,86.7,5,280000
1740,MG Hector,2,11002,1,0,1,13.96,1451.0,141.0,5,1485000
1741,Toyota Innova,8,75000,1,1,0,12.99,2159.5,100.0,7,600000
1742,Maruti Baleno,2,40000,0,0,1,19.56,1197.0,81.8,5,550000
1743,Volkswagen Polo,10,120000,0,1,0,20.14,1498.0,88.8,5,450000
1744,Tata Safari,5,100000,0,1,0,14.1,2159.5,147.94,7,650000
1745,Hyundai i10,7,61000,1,0,0,19.81,1086.0,68.05,5,320000
1746,Volkswagen Vento,8,47000,1,0,0,16.09,1598.0,103.2,5,390000
1747,Mahindra XUV500,7,51000,1,1,0,15.1,2159.5,140.0,7,735000
1748,Honda City,6,53000,1,0,1,18.0,1497.0,117.3,5,741000
1749,Hyundai Verna,10,75000,1,1,1,22.32,1582.0,126.32,5,365000
1750,Mahindra XUV500,6,110000,0,1,0,16.0,1997.0,140.0,7,950000
1751,Tata Tiago,3,36500,0,0,0,23.84,1199.0,84.0,5,420000
1752,Maruti Ertiga,6,48200,1,1,0,25.47,1248.0,88.5,7,535000
1753,Maruti Swift,9,115000,0,1,0,22.9,1248.0,74.0,5,300000
1755,Honda Civic,15,80000,0,0,0,13.5,1799.0,130.0,5,250000
1756,Maruti Wagon R,11,61000,1,0,0,20.51,998.0,67.04,5,195000
1757,Maruti Ciaz,5,35000,1,1,0,28.09,1248.0,88.5,5,610000
1758,BMW X1,10,42545,1,1,1,19.62,1998.0,182.25,5,1075000
1759,Mercedes-Benz C-Class,5,19000,1,1,1,19.27,2143.0,170.0,5,1485000
1761,Toyota Innova,6,90000,0,1,0,12.99,2159.5,100.6,7,950000
1764,Hyundai Grand,4,35000,0,0,1,18.9,1197.0,81.86,5,511000
1765,Tata Harrier,2,15200,1,1,0,17.0,1956.0,138.1,5,1485000
1766,Mahindra Scorpio,7,120000,0,1,0,12.05,2159.5,120.0,9,600000
1767,Mahindra Bolero,9,60000,0,1,0,15.96,2159.5,62.1,7,520000
1769,Maruti Alto,1,10000,0,0,0,22.05,796.0,47.3,5,370000
1770,Maruti Swift Dzire,4,60000,0,0,0,21.21,1197.0,81.8,5,550000
1771,Mahindra Scorpio,14,100000,0,1,0,11.0,2159.5,120.0,5,217000
1775,Tata Nexon,2,6700,0,0,0,17.0,1198.0,108.5,5,750000
1776,Maruti Swift Dzire,8,65000,1,1,0,23.4,1248.0,74.0,5,350000
1777,Hyundai Verna,7,49599,1,0,1,17.1,1591.0,121.4,5,610000
1778,Maruti Alto,3,20000,0,0,0,24.7,796.0,47.3,5,310000
1781,Maruti Celerio,6,49955,1,0,0,21.63,998.0,67.04,5,400000
1782,Ford Ecosport,6,110000,0,1,0,22.77,1498.0,98.59,5,600000
1784,Ford Ecosport,2,64000,1,1,0,22.77,1498.0,98.59,5,850000
